Text,Created_at,Tweet_id,RT_count,Fav_count,Hashtags,Language,Reply_to_status_id,Reply_to_user_id,Reply_to_user,Quoted_status,Username,Bio_description,User_followers_count,User_friends_count,User_statuses_count,Account_verified,Account_created_at,User_location,URL,URL_reply,Account_creation_year,Suspicious_account
"@GlenndelParque Ah, tenemos un perrito que ya tiene 10 años.

Seguí con la polenta, kumpa. Que así van a terminar 😉
#ElPeorPresidenteDeLaHistoria 
En 2023, #SeVan 🤭 https://t.co/GTJtzkOVMz",2022-04-17 15:23:15,1515712503078076418,0,0,"[{'text': 'ElPeorPresidenteDeLaHistoria', 'indices': [116, 145]}, {'text': 'SeVan', 'indices': [156, 162]}]",es,1.5157111333946532e+18,157765682.0,wgiunchi,False,wgiunchi,"La persona libre, es la que aprende a desobedecer para inventar algo...

🇦🇷🇺🇾🇧🇷🇮🇹🇨🇵",110,438,12121,False,2010-06-20 20:35:28,"Lanus, Buenos Aires, Argentina",https://twitter.com/wgiunchi/status/1515712503078076418,https://twitter.com/user/status/1515711133394653185,2010,False
@MarceIo_Trovato #SeVan,2022-04-17 14:46:11,1515703172584591367,0,0,"[{'text': 'SeVan', 'indices': [17, 23]}]",und,1.5155315864978227e+18,1.1820560119071744e+18,MarceIo_Trovato,False,sergioclotet777,"2da Cuenta!
Bajaron mi Cta Original con +2800 seguidores por oponerme al Pase.Sanitari0 y complices! #AntiComunismo
/Rock'n Roll will never die!/INDEPENDIENTE♥️",903,971,4956,False,2022-01-05 21:57:49,"Paraná, Argentina",https://twitter.com/sergioclotet777/status/1515703172584591367,https://twitter.com/user/status/1515531586497822721,2022,False
@OfeFernandez_ Cuando te vayas de la actividad pública y encares una empresa privada y le des trabajó a personas....eso serán tiempos mejores.... chau....#SeVan,2022-04-17 14:39:10,1515701406216376326,0,0,"[{'text': 'SeVan', 'indices': [154, 160]}]",es,1.5144294186215178e+18,1.0030492191319204e+18,OfeFernandez_,False,virreydelvalle,"EN PAREJA Y CON UN HIJO
Amante del buen vino y con buenos amigos
Amo el FOLKLORE
AMO MI FAMILIA
💛💙ROSARIO ES CENTRAL... Lo demás cartón pintado",288,844,9414,False,2015-01-30 23:22:02,"Rosario, Argentina",https://twitter.com/virreydelvalle/status/1515701406216376326,https://twitter.com/user/status/1514429418621517824,2015,False
@fabiorosales2 Fabio.....#SeVan ....asi que..vas a tener que buscar laburo en lo privado....suerte.....,2022-04-17 14:37:35,1515701009884102661,0,0,"[{'text': 'SeVan', 'indices': [25, 31]}]",es,1.5154710809110979e+18,335727501.0,fabiorosales2,False,virreydelvalle,"EN PAREJA Y CON UN HIJO
Amante del buen vino y con buenos amigos
Amo el FOLKLORE
AMO MI FAMILIA
💛💙ROSARIO ES CENTRAL... Lo demás cartón pintado",288,844,9414,False,2015-01-30 23:22:02,"Rosario, Argentina",https://twitter.com/virreydelvalle/status/1515701009884102661,https://twitter.com/user/status/1515471080911097860,2015,False
@dimeoJacho #SeVan,2022-04-17 14:23:47,1515697534735425536,0,0,"[{'text': 'SeVan', 'indices': [12, 18]}]",und,1.5154988520607457e+18,2788493685.0,dimeoJacho,False,virreydelvalle,"EN PAREJA Y CON UN HIJO
Amante del buen vino y con buenos amigos
Amo el FOLKLORE
AMO MI FAMILIA
💛💙ROSARIO ES CENTRAL... Lo demás cartón pintado",288,844,9414,False,2015-01-30 23:22:02,"Rosario, Argentina",https://twitter.com/virreydelvalle/status/1515697534735425536,https://twitter.com/user/status/1515498852060745739,2015,False
"El pueblo dominicano siente el gobierno del #PRM viejo, improvisado, alejado de las necesidades del país.

#SeVan",2022-04-17 14:01:55,1515692034320912384,0,1,"[{'text': 'PRM', 'indices': [44, 48]}, {'text': 'SeVan', 'indices': [107, 113]}]",es,,,,False,Jgrullon26,#LaVozDePuñal 93.3 FM. 🎙️🎧 Santiago📍 República Dominicana 🇩🇴,4237,797,39248,False,2012-10-20 16:14:30,,https://twitter.com/Jgrullon26/status/1515692034320912384,https://twitter.com/user/status/None,2012,False
"@AbelMartinezD No cierran la frontera para evitar entrada de ilegales, ¿Ahora la van a cerrar por la #raquiñahaitiana?

#NoSabenGobernar #SeVan #ElCambioFueUnaTrampa",2022-04-17 13:49:23,1515688879453523973,0,0,"[{'text': 'raquiñahaitiana', 'indices': [101, 117]}, {'text': 'NoSabenGobernar', 'indices': [120, 136]}, {'text': 'SeVan', 'indices': [137, 143]}, {'text': 'ElCambioFueUnaTrampa', 'indices': [144, 165]}]",es,1.515676196180222e+18,403750006.0,AbelMartinezD,False,baldostrator,"Tuiteo, por lo tanto, existo.
Objetivo, lógico y siempre justo.",1191,159,6969,False,2020-04-22 00:50:07,Capital,https://twitter.com/baldostrator/status/1515688879453523973,https://twitter.com/user/status/1515676196180221957,2020,False
#SeVan Los PRM en el 24,2022-04-17 13:49:03,1515688796670595074,0,0,"[{'text': 'SeVan', 'indices': [0, 6]}]",es,,,,False,jeanbretonb,"Padre de cinco hijos, trabajador de lo mio y amante de lo bueno",670,1861,9943,False,2011-04-06 22:35:59,,https://twitter.com/jeanbretonb/status/1515688796670595074,https://twitter.com/user/status/None,2011,False
"@fabiorosales2 Kumpa, sólo a Uds les interesa mantener antros llenos de parásitos, la mayoría se cansó. Y aún cuando no gane Milei, uds en 2023 #SeVan",2022-04-17 13:48:25,1515688635030454281,0,0,"[{'text': 'SeVan', 'indices': [144, 150]}]",es,1.5154710809110979e+18,335727501.0,fabiorosales2,False,Pioja_mala,,3859,3144,197564,False,2015-05-16 03:47:30,"Ramos Mejía, Buenos Aires",https://twitter.com/Pioja_mala/status/1515688635030454281,https://twitter.com/user/status/1515471080911097860,2015,False
@marcelopueIIaok 🤣🤣🤣🤣🤣 los mandaron a todos juntos con esta boludez!! Solo los termocéfalos compran eso. En 2023 #SeVan,2022-04-17 13:45:36,1515687925308084237,0,0,"[{'text': 'SeVan', 'indices': [113, 119]}]",es,1.5153332180603576e+18,193782586.0,marcelopueIIaok,False,Pioja_mala,,3859,3144,197564,False,2015-05-16 03:47:30,"Ramos Mejía, Buenos Aires",https://twitter.com/Pioja_mala/status/1515687925308084237,https://twitter.com/user/status/1515333218060357635,2015,False
